coating_thickness_um,coating_uniformity_cv,coating_areal_mass,coating_defect_density,calendering_density,calendering_porosity,calendering_force,slitting_edge_burr,slitting_width_accuracy,assembly_winding_tension,assembly_weld_strength,assembly_initial_resistance,fill_electrolyte_volume,fill_seal_pressure,failed_qc
79.19,0.938,22.11,0.88,3.462,28.11,6107.4,2.53,0.0138,15.05,180.8,11.8,15.055,123.4,0
75.69,0.609,22.72,0.42,3.488,29.14,6168.6,3.45,0.0046,15.15,190.0,12.35,14.827,117.2,0
79.44,0.851,21.29,0.22,3.441,28.65,5834.3,1.76,0.0138,15.08,181.5,12.0,15.006,121.1,0
77.05,1.117,22.08,0.63,3.553,29.44,5943.1,1.97,0.0016,14.76,171.0,12.84,14.902,117.5,0
78.18,0.686,22.34,0.45,3.497,30.68,6229.7,1.77,0.0115,15.54,173.2,12.48,14.909,120.5,0
77.84,1.296,22.32,0.22,3.527,33.4,5947.7,2.18,0.0092,15.06,175.8,11.16,14.962,120.4,0
74.07,0.755,22.04,0.37,3.489,28.51,5908.0,2.09,0.0062,14.85,177.0,12.02,15.235,118.5,0
79.44,1.497,22.23,0.22,3.465,28.95,6116.6,3.03,0.0337,14.83,181.8,11.8,14.989,120.4,0
78.63,0.676,22.77,0.62,3.516,29.86,5954.7,2.22,0.0023,14.32,185.9,12.21,14.91,119.4,0
78.44,1.263,21.97,0.2,3.451,33.02,5924.2,1.68,0.0101,14.98,182.7,12.25,14.926,119.0,0
73.44,2.024,22.66,0.07,3.527,30.32,5959.4,1.84,0.0316,15.69,152.7,11.56,15.047,115.6,1
78.23,0.763,22.18,0.75,3.516,30.49,5762.2,2.48,0.0323,15.33,183.4,11.62,14.914,117.5,1
78.02,2.371,21.62,4.53,3.557,28.38,6004.0,2.23,0.0353,15.58,182.9,15.26,14.24,116.2,1
78.53,1.235,22.17,0.47,3.488,31.81,6098.9,1.02,0.0271,14.52,179.2,12.0,15.012,118.2,0
76.38,0.774,21.7,0.38,3.521,29.33,5894.9,3.47,0.0202,15.56,182.4,11.59,14.979,117.1,0
77.58,1.104,22.13,0.33,3.542,29.18,5972.7,3.28,0.0037,14.42,180.7,10.71,14.906,124.1,0
79.86,0.892,21.77,0.36,3.527,29.16,6152.7,2.63,0.0189,14.99,192.9,12.47,15.053,120.4,0
82.39,2.695,21.97,2.42,3.522,29.55,5978.2,3.07,0.0104,15.06,183.1,11.37,15.111,119.3,1
74.94,1.29,22.76,0.94,3.418,30.77,5770.0,3.17,0.0051,14.54,192.0,12.12,14.773,120.7,0
85.31,1.312,21.43,3.76,3.573,29.17,6025.3,2.32,0.0138,15.26,148.7,15.42,15.211,122.0,1
74.02,1.236,22.64,0.83,3.504,30.28,5866.2,2.48,0.0106,14.43,189.6,11.5,15.042,122.5,0
76.42,0.591,22.61,0.85,3.441,29.93,5914.6,3.02,0.0123,14.91,179.5,11.38,14.999,118.5,0
78.64,0.679,22.17,0.91,3.472,29.45,5831.8,2.52,0.0354,14.95,189.9,11.6,14.947,118.3,0
81.08,1.309,22.03,0.66,3.508,29.47,6330.5,2.69,0.0262,14.56,172.0,12.09,14.83,118.2,0
79.37,1.266,22.62,0.03,3.552,28.86,6042.2,3.26,0.0075,14.58,171.6,11.41,15.046,120.9,0
76.78,0.805,22.01,0.08,3.534,28.06,5765.8,2.78,0.0111,15.08,185.5,11.38,15.003,115.2,0
76.9,0.921,21.41,0.57,3.504,30.9,6038.5,2.05,0.0115,15.32,184.0,12.08,14.907,121.1,0
78.74,2.064,22.12,2.25,3.582,30.25,5878.5,1.89,0.0158,14.88,173.9,12.47,15.61,117.3,1
81.69,0.492,21.15,0.26,3.451,29.19,6109.7,2.52,0.0085,14.81,181.7,12.24,14.895,120.6,0
79.5,0.805,22.23,0.11,3.5,29.67,6081.6,2.07,0.0456,15.42,183.2,11.83,15.004,124.8,0
77.27,0.924,22.42,0.29,3.498,30.96,5756.9,1.25,0.0069,14.32,184.2,12.17,14.757,117.3,0
75.47,1.404,22.17,0.78,3.514,29.35,5966.9,1.72,0.0145,14.34,183.8,11.18,15.143,120.8,0
77.86,0.862,21.59,0.57,3.693,30.38,6103.4,5.24,0.0071,15.2,139.2,11.7,14.377,116.3,1
77.21,1.209,21.81,0.58,3.49,31.32,6111.5,1.68,0.013,14.97,182.3,12.31,14.916,119.4,0
77.73,0.918,21.89,0.69,3.502,31.48,5896.4,2.76,0.0375,16.12,177.6,11.66,14.902,120.6,0
77.01,1.353,22.58,0.26,3.524,31.53,5973.5,2.99,0.0017,14.46,191.4,11.68,14.967,122.3,0
78.32,0.965,22.31,0.48,3.554,29.51,6001.0,1.92,0.0163,15.03,177.5,11.86,15.089,119.6,0
79.6,1.039,21.46,3.06,3.299,31.49,6048.1,5.33,0.0003,15.51,176.2,12.14,14.485,117.1,1
77.17,0.844,21.49,0.65,3.49,30.05,5976.8,2.68,0.0049,14.88,182.4,12.19,15.041,116.8,0
